Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,22-Sep-2023,02-Nov-2023,CE,19700.00,522.00,522.00,425.30,425.30,425.30,472.70,2.00,20.17,0.47,50.00,50.00,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,21050.00,-,-,-,77.55,-,64.40,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,19850.00,-,-,-,439.35,-,396.35,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,18900.00,-,-,-,1082.80,-,1019.10,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,19900.00,-,-,-,414.40,-,372.90,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,21000.00,-,-,-,84.60,-,70.50,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,21150.00,-,-,-,64.95,-,53.45,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,19350.00,-,-,-,739.65,-,684.15,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,18400.00,-,-,-,1522.25,-,1453.50,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,19750.00,-,-,-,491.95,-,446.30,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,20850.00,-,-,-,108.90,-,91.90,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,20950.00,-,-,-,92.15,-,77.15,-,-,-,-,-,19674.25
NIFTY,22-Sep-2023,02-Nov-2023,CE,20000.00,-,-,-,367.55,-,328.80,-,-,-,-,-,19674.25
