Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Jul-2023,26-Oct-2023,CE,20900.00,-,-,-,309.80,-,299.45,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,19600.00,660.00,666.00,623.25,664.50,666.00,664.50,16.00,161.95,5.15,550.00,550.00,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,18400.00,-,-,-,1706.70,-,1689.30,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,19300.00,734.25,855.20,734.25,851.55,851.55,1024.50,9.00,90.49,3.64,250.00,250.00,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,19750.00,-,-,-,774.60,-,759.30,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,18900.00,-,-,-,1317.75,-,1300.55,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,18450.00,-,-,-,1665.75,-,1648.35,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,20650.00,-,-,-,385.80,-,374.25,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,19100.00,-,-,-,1174.50,-,1157.60,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,20250.00,-,-,-,535.30,-,521.90,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,18650.00,-,-,-,1506.15,-,1488.80,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,18700.00,-,-,-,1467.35,-,1450.05,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,18750.00,-,-,-,1429.05,-,1411.75,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,18300.00,-,-,-,1789.80,-,1772.40,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,19250.00,-,-,-,1073.55,-,1056.95,-,-,-,-,-,-
NIFTY,28-Jul-2023,26-Oct-2023,CE,20450.00,-,-,-,456.10,-,443.60,-,-,-,-,-,-
