Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,06-Oct-2023,09-Nov-2023,PE,19900.00,-,-,-,488.90,-,370.35,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19400.00,-,-,-,242.65,-,150.60,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19050.00,-,-,-,131.90,-,66.80,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18050.00,-,-,-,11.65,-,2.30,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19300.00,-,-,-,206.00,-,121.40,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20600.00,-,-,-,996.75,-,876.55,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20650.00,-,-,-,1038.75,-,919.45,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20750.00,-,-,-,1124.45,-,1007.25,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20850.00,-,-,-,1212.25,-,1097.25,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19600.00,191.75,191.75,184.60,184.60,184.60,223.25,3.00,29.68,0.28,150.00,150.00,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19950.00,-,-,-,519.30,-,399.35,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18750.00,-,-,-,71.40,-,28.95,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20500.00,-,-,-,914.70,-,792.80,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20700.00,-,-,-,1081.30,-,963.05,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18200.00,-,-,-,18.05,-,4.25,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18300.00,-,-,-,23.80,-,6.25,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19650.00,-,-,-,352.50,-,244.55,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19850.00,-,-,-,459.50,-,342.65,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20250.00,-,-,-,722.00,-,598.35,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19150.00,-,-,-,158.60,-,85.70,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19200.00,-,-,-,173.45,-,96.60,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20450.00,-,-,-,874.70,-,752.15,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19250.00,-,-,-,189.25,-,108.45,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19450.00,-,-,-,262.50,-,166.90,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19550.00,-,-,-,305.35,-,203.25,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,21050.00,-,-,-,1393.15,-,1282.70,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18700.00,-,-,-,63.90,-,24.85,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20200.00,-,-,-,685.90,-,562.35,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20550.00,-,-,-,955.40,-,834.30,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18400.00,-,-,-,31.00,-,9.10,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20950.00,-,-,-,1301.90,-,1189.20,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18850.00,-,-,-,88.50,-,38.85,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18900.00,-,-,-,98.15,-,44.75,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19350.00,-,-,-,223.80,-,135.40,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20800.00,-,-,-,1168.10,-,1052.00,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,18550.00,47.35,47.35,47.35,47.35,47.35,15.30,1.00,9.30,0.02,50.00,50.00,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20000.00,-,-,-,550.70,-,429.60,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,19000.00,-,-,-,119.80,-,58.65,-,-,-,-,-,19653.50
NIFTY,06-Oct-2023,09-Nov-2023,PE,20350.00,-,-,-,796.85,-,673.35,-,-,-,-,-,19653.50
