Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,21-Jul-2023,24-Aug-2023,PE,20700.00,-,-,-,764.85,-,938.20,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,18950.00,-,-,-,58.90,-,89.20,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,18750.00,-,-,-,37.80,-,58.95,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,19150.00,-,-,-,88.50,-,130.25,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,19650.00,-,-,-,211.65,-,291.60,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,20900.00,-,-,-,914.35,-,1101.60,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,21100.00,-,-,-,1074.70,-,1274.00,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,20250.00,-,-,-,477.15,-,612.25,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,20450.00,-,-,-,596.15,-,749.00,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,18850.00,-,-,-,47.45,-,72.85,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,19600.00,-,-,-,195.60,-,271.25,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,21050.00,-,-,-,1033.65,-,1230.15,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,20300.00,-,-,-,505.50,-,645.15,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,20350.00,-,-,-,534.80,-,678.90,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,20850.00,-,-,-,875.90,-,1059.85,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,18500.00,-,-,-,20.60,-,33.30,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,19850.00,-,-,-,284.90,-,382.85,-,-,-,-,-,-
NIFTY,21-Jul-2023,24-Aug-2023,PE,18700.00,-,-,-,33.65,-,52.85,-,-,-,-,-,-
