Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Sep-2023,28-Dec-2023,PE,22000.00,1896.00,2100.00,1879.30,2072.95,2067.90,2072.95,2528.00,30291.14,2483.14,233750.00,79600.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,15000.00,11.50,13.55,8.90,12.65,13.05,12.65,418.00,3137.37,2.37,290900.00,650.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,17000.00,20.00,32.45,20.00,27.85,26.75,27.85,2587.00,22024.23,34.73,1229350.00,27450.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,20000.00,412.55,527.15,409.00,516.55,506.50,516.55,7857.00,80459.37,1889.37,1227100.00,6700.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,23000.00,2836.15,3061.05,2830.00,3032.65,3021.60,3032.65,2926.00,37996.12,4347.12,430950.00,62700.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,11000.00,-,-,-,3.05,3.05,-,-,-,-,1875.00,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,24000.00,-,-,-,6726.70,-,4054.85,-,-,-,-,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,25000.00,-,-,-,7579.35,-,5034.15,-,-,-,-,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,14000.00,3.05,3.05,3.05,3.05,3.05,-,2.00,14.00,-,117300.00,50.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,21000.00,1017.40,1201.00,1012.05,1185.55,1173.00,1185.55,1368.00,15140.47,776.47,370050.00,7850.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,17500.00,33.00,50.40,33.00,48.25,45.00,48.25,2377.00,20853.62,54.87,749250.00,67850.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,18000.00,50.75,72.75,49.05,68.15,67.00,68.15,8229.00,74327.44,266.44,3568350.00,113100.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,16000.00,11.65,15.85,9.20,13.70,14.25,13.70,2619.00,20967.05,15.05,684700.00,9500.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,14500.00,11.30,12.90,6.45,10.50,10.50,0.05,133.00,964.88,0.63,55800.00,-1800.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,12700.00,-,-,-,3.05,3.05,-,-,-,-,4000.00,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,19000.00,144.95,202.95,143.50,195.90,189.00,195.90,10410.00,99833.16,938.16,2335250.00,90450.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,13000.00,3.50,5.85,3.00,4.85,4.00,4.85,780.00,5071.48,1.48,129650.00,9300.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,12000.00,-,-,-,3.05,3.05,-,-,-,-,15600.00,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,PE,13500.00,4.80,6.60,3.45,4.15,4.15,4.15,4.00,27.01,0.01,10850.00,-,19523.55
NIFTY,29-Sep-2023,28-Dec-2023,PE,23000.00,3002.70,3020.00,2888.45,2960.65,2956.80,2960.65,297.00,3850.97,435.47,434150.00,3200.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,20300.00,-,-,-,831.30,-,763.30,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,20750.00,-,-,-,1130.35,-,1050.60,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,18750.00,133.60,134.15,120.45,120.45,120.45,160.50,4.00,37.76,0.26,200.00,200.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,19650.00,341.75,341.75,341.75,341.75,341.75,437.10,1.00,10.00,0.17,50.00,50.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,19250.00,-,-,-,327.75,-,290.25,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,20050.00,-,-,-,685.80,-,624.95,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,12000.00,-,-,-,3.05,3.05,-,-,-,-,15600.00,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,20600.00,-,-,-,1025.65,-,949.65,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,18200.00,71.25,78.45,67.80,67.80,67.80,74.10,82.00,749.09,2.89,3300.00,3300.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,20200.00,-,-,-,771.25,-,706.05,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,18250.00,75.70,81.55,70.00,71.85,71.85,79.95,106.00,971.38,4.13,2850.00,2850.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,20800.00,-,-,-,1166.30,-,1085.35,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,19550.00,304.90,312.70,304.90,312.70,312.70,396.60,2.00,19.86,0.31,100.00,100.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,18400.00,91.75,93.80,83.05,83.45,83.45,99.75,40.00,369.69,1.69,1700.00,1700.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,20950.00,-,-,-,1278.15,-,1192.75,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,18500.00,95.10,110.05,87.00,93.50,91.75,93.50,1922.00,17868.59,90.09,70500.00,70500.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,13000.00,5.00,5.10,4.15,4.60,4.75,4.60,477.00,3101.63,1.13,141750.00,12100.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,19350.00,-,-,-,363.55,-,323.20,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,PE,18600.00,120.45,120.45,98.60,102.50,104.35,102.50,147.00,1374.89,7.79,6200.00,6200.00,19638.30
