Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01-Mar-2024,30-May-2024,CE,21350.00,-,-,-,1267.85,-,1450.95,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20950.00,-,-,-,1569.30,-,1793.00,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22050.00,-,-,-,819.90,-,928.30,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22500.00,710.00,866.40,710.00,859.45,865.00,859.45,260.00,3030.53,105.53,7150.00,7150.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22100.00,852.10,1100.00,852.10,1100.00,1100.00,895.50,12.00,138.90,6.30,600.00,600.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22600.00,800.00,800.00,800.00,800.00,800.00,604.80,1.00,11.70,0.40,50.00,50.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23750.00,305.00,305.00,289.00,289.75,289.75,289.75,30.00,360.79,4.54,1500.00,1500.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21050.00,-,-,-,1490.95,-,1705.15,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20650.00,-,-,-,1814.45,-,2064.05,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20250.00,-,-,-,2161.35,-,2438.70,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21450.00,-,-,-,1196.35,-,1369.75,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22900.00,-,-,-,431.45,-,463.90,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23500.00,302.00,398.90,300.00,394.25,398.35,394.25,764.00,9118.05,141.05,27050.00,27050.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23050.00,-,-,-,380.05,-,402.80,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23100.00,-,-,-,364.00,-,383.75,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22800.00,-,-,-,468.45,-,508.05,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21550.00,-,-,-,1127.95,-,1290.55,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21700.00,-,-,-,1029.50,-,1175.70,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21300.00,-,-,-,1304.00,-,1492.25,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23450.00,-,-,-,266.50,-,268.45,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21800.00,-,-,-,966.70,-,1101.95,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23600.00,-,-,-,230.65,-,228.00,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21850.00,-,-,-,936.15,-,1066.00,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21900.00,-,-,-,906.20,-,1030.60,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21950.00,-,-,-,876.85,-,995.90,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22850.00,-,-,-,449.70,-,485.65,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21650.00,-,-,-,1061.75,-,1213.40,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21250.00,-,-,-,1339.80,-,1534.00,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20800.00,-,-,-,1690.10,-,1927.20,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20350.00,-,-,-,2072.80,-,2343.90,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20900.00,-,-,-,1609.15,-,1837.40,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22400.00,890.00,890.00,890.00,890.00,890.00,712.75,1.00,11.64,0.45,50.00,50.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23550.00,-,-,-,242.80,-,240.95,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22350.00,-,-,-,663.30,-,741.45,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21750.00,-,-,-,997.80,-,1138.55,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22150.00,-,-,-,765.35,-,863.35,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23200.00,-,-,-,333.40,-,347.65,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20450.00,-,-,-,1985.35,-,2249.80,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21500.00,1400.00,1509.00,1400.00,1509.00,1509.00,1509.00,25.00,286.85,18.10,1250.00,1250.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22950.00,-,-,-,413.80,-,442.85,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22550.00,-,-,-,570.85,-,630.70,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20750.00,-,-,-,1731.15,-,1972.55,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21400.00,-,-,-,1231.35,-,1410.10,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23000.00,500.00,608.60,479.00,602.10,608.60,602.10,1003.00,11823.17,288.67,28700.00,28700.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22200.00,900.00,1030.00,900.00,1030.00,1030.00,1030.00,11.00,127.36,5.26,550.00,550.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22750.00,-,-,-,487.80,-,531.20,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22300.00,800.00,980.00,800.00,969.85,955.25,969.85,5.00,58.09,2.34,250.00,250.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23300.00,-,-,-,304.80,-,314.15,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22000.00,952.50,1173.65,952.50,1169.10,1169.60,1169.10,639.00,7387.07,358.07,22650.00,22650.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21600.00,-,-,-,1094.60,-,1251.70,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20400.00,-,-,-,2028.95,-,2296.80,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23350.00,-,-,-,291.25,-,298.30,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23400.00,-,-,-,278.15,-,283.10,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22650.00,-,-,-,528.20,-,579.55,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23150.00,-,-,-,348.45,-,365.40,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22250.00,-,-,-,713.20,-,801.05,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22700.00,716.75,750.00,716.70,750.00,750.00,750.00,14.00,164.00,5.10,600.00,600.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23700.00,-,-,-,209.35,-,203.80,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20550.00,-,-,-,1899.25,-,2156.50,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20600.00,-,-,-,1856.70,-,2110.15,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21150.00,-,-,-,1414.40,-,1618.75,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21200.00,-,-,-,1376.85,-,1576.15,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20700.00,-,-,-,1772.60,-,2018.15,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20300.00,-,-,-,2116.95,-,2391.25,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20850.00,-,-,-,1649.40,-,1882.15,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,22450.00,-,-,-,615.90,-,684.70,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23650.00,-,-,-,219.80,-,215.65,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,23250.00,-,-,-,318.85,-,330.60,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,20500.00,-,-,-,1942.15,-,2203.05,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21000.00,1800.00,1850.00,1800.00,1850.00,1850.00,1748.90,2.00,22.82,1.82,100.00,100.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,CE,21100.00,-,-,-,1452.45,-,1661.75,-,-,-,-,-,22338.75
NIFTY,02-Mar-2024,30-May-2024,CE,20750.00,-,-,-,1731.15,-,2004.75,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,23900.00,-,-,-,171.50,-,166.05,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,22250.00,-,-,-,713.20,-,820.15,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,23700.00,-,-,-,209.35,-,209.50,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,23300.00,-,-,-,304.80,-,322.75,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,22000.00,1188.85,1211.55,1186.00,1204.70,1211.55,1204.70,43.00,498.84,25.84,24050.00,1400.00,-
NIFTY,02-Mar-2024,30-May-2024,CE,20550.00,-,-,-,1899.25,-,2189.70,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,20600.00,-,-,-,1856.70,-,2143.10,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,21450.00,-,-,-,1196.35,-,1397.00,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,23350.00,-,-,-,291.25,-,306.50,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,24100.00,-,-,-,139.45,-,130.10,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,23600.00,-,-,-,230.65,-,234.35,-,-,-,-,-,-
NIFTY,02-Mar-2024,30-May-2024,CE,21900.00,-,-,-,906.20,-,1053.50,-,-,-,-,-,-
