Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,24-May-2024,04-Jul-2024,CE,22900.00,-,-,-,578.95,-,567.45,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23250.00,-,-,-,397.85,-,388.15,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,21250.00,-,-,-,1910.95,-,1896.00,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,24150.00,-,-,-,119.25,-,114.55,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,24250.00,-,-,-,102.00,-,97.80,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22450.00,-,-,-,875.05,-,861.70,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22500.00,-,-,-,838.05,-,824.85,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,24650.00,-,-,-,52.10,-,49.50,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,24350.00,-,-,-,86.85,-,83.05,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23450.00,-,-,-,313.80,-,305.25,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,21550.00,-,-,-,1629.20,-,1614.35,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23100.00,-,-,-,470.20,-,459.65,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23350.00,-,-,-,354.10,-,344.95,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,24300.00,-,-,-,94.20,-,90.20,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,24400.00,-,-,-,80.00,-,76.40,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,24450.00,-,-,-,73.60,-,70.25,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,21350.00,-,-,-,1816.05,-,1801.10,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23550.00,-,-,-,276.90,-,268.95,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22550.00,-,-,-,802.75,-,789.80,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22600.00,-,-,-,768.30,-,755.50,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,21700.00,-,-,-,1492.35,-,1477.60,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22800.00,-,-,-,638.65,-,626.65,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,21950.00,-,-,-,1272.45,-,1258.00,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22000.00,-,-,-,1229.90,-,1215.50,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22150.00,-,-,-,1105.60,-,1091.50,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23300.00,497.20,497.20,497.20,497.20,497.20,366.10,7.00,41.65,0.87,175.00,175.00,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23400.00,-,-,-,333.55,-,324.70,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,23650.00,-,-,-,243.30,-,235.90,-,-,-,-,-,22957.10
NIFTY,24-May-2024,04-Jul-2024,CE,22750.00,-,-,-,669.80,-,657.60,-,-,-,-,-,22957.10
