Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,24-Nov-2023,04-Jan-2024,CE,21200.00,-,-,-,58.10,-,25.85,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19800.00,363.85,363.85,363.85,363.85,363.85,401.70,1.00,10.08,0.18,50.00,50.00,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20300.00,-,-,-,255.70,-,182.10,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19200.00,-,-,-,882.15,-,816.75,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20700.00,-,-,-,139.95,-,83.45,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20800.00,-,-,-,118.70,-,67.20,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20900.00,-,-,-,100.15,-,53.60,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20950.00,-,-,-,91.80,-,47.75,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20500.00,-,-,-,191.10,-,125.40,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19250.00,-,-,-,844.05,-,776.65,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19450.00,-,-,-,699.85,-,625.40,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20750.00,-,-,-,128.95,-,74.95,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18300.00,-,-,-,1669.65,-,1638.15,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20000.00,-,-,-,380.25,-,299.70,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20150.00,-,-,-,313.70,-,235.75,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19600.00,-,-,-,601.15,-,522.75,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,21000.00,-,-,-,84.00,-,42.40,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18450.00,-,-,-,1528.55,-,1493.00,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,21100.00,-,-,-,70.05,-,33.25,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18550.00,-,-,-,1436.05,-,1397.30,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19900.00,-,-,-,429.60,-,348.30,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20100.00,-,-,-,334.90,-,255.90,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,21300.00,27.75,27.75,9.70,10.30,10.70,10.30,14.00,149.18,0.08,500.00,500.00,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18850.00,-,-,-,1168.50,-,1118.20,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18900.00,-,-,-,1125.70,-,1073.20,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18950.00,-,-,-,1083.45,-,1028.80,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20450.00,-,-,-,205.95,-,138.10,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19500.00,-,-,-,666.05,-,590.10,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18400.00,-,-,-,1575.30,-,1541.20,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19950.00,276.40,276.40,276.40,276.40,276.40,323.40,1.00,10.11,0.14,50.00,50.00,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,21250.00,-,-,-,52.80,-,22.70,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18800.00,-,-,-,1211.90,-,1163.65,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20550.00,-,-,-,177.10,-,113.60,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19350.00,-,-,-,770.15,-,699.10,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19400.00,-,-,-,734.55,-,661.75,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19550.00,-,-,-,633.15,-,555.85,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,21050.00,-,-,-,76.75,-,37.60,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18500.00,-,-,-,1482.15,-,1445.00,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18600.00,-,-,-,1390.35,-,1349.85,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,18700.00,-,-,-,1300.20,-,1255.95,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20050.00,219.90,222.00,205.00,215.00,215.00,277.20,13.00,131.73,1.41,200.00,200.00,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,20350.00,-,-,-,238.25,-,166.40,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19050.00,-,-,-,1000.85,-,941.85,-,-,-,-,-,19794.70
NIFTY,24-Nov-2023,04-Jan-2024,CE,19150.00,-,-,-,920.95,-,857.70,-,-,-,-,-,19794.70
