Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-Aug-2024,05-Sep-2024,CE,23550.00,-,-,-,1680.25,-,1411.95,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,23650.00,-,-,-,1591.60,-,1327.80,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25050.00,285.05,314.40,200.00,239.95,200.00,239.95,38.00,240.68,2.70,550.00,550.00,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25450.00,-,-,-,393.75,-,272.60,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,24250.00,-,-,-,1098.15,-,871.00,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25500.00,-,-,-,373.80,-,257.05,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,23250.00,-,-,-,1954.25,-,1674.95,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25900.00,-,-,-,239.55,-,156.10,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,23450.00,-,-,-,1770.35,-,1497.95,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,23500.00,-,-,-,1725.10,-,1454.70,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,24700.00,500.00,525.00,419.00,423.85,425.35,423.85,21.00,132.08,2.41,375.00,375.00,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,26450.00,-,-,-,119.45,-,71.60,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25200.00,-,-,-,504.80,-,360.85,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25650.00,-,-,-,318.25,-,214.45,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,26000.00,100.00,100.00,31.00,36.85,35.60,36.85,191.00,1243.50,2.00,3375.00,3375.00,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,23850.00,-,-,-,1419.20,-,1165.85,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,23950.00,-,-,-,1335.75,-,1088.30,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,26700.00,-,-,-,84.15,-,48.45,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25400.00,-,-,-,414.45,-,288.80,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,24300.00,-,-,-,1060.65,-,837.25,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25550.00,-,-,-,354.60,-,242.20,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,25750.00,-,-,-,284.75,-,190.45,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,24550.00,-,-,-,882.55,-,679.65,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,26050.00,-,-,-,201.15,-,127.55,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,26100.00,-,-,-,188.25,-,119.05,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,24950.00,-,-,-,635.05,-,467.80,-,-,-,-,-,24717.70
NIFTY,02-Aug-2024,05-Sep-2024,CE,26250.00,-,-,-,155.70,-,96.25,-,-,-,-,-,24717.70
