Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,05-Jan-2024,08-Feb-2024,CE,23100.00,-,-,-,49.75,-,24.85,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21100.00,-,-,-,837.20,-,818.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21900.00,-,-,-,350.15,-,298.60,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20750.00,-,-,-,1119.45,-,1121.10,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20850.00,-,-,-,1035.35,-,1031.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22250.00,-,-,-,215.55,-,164.80,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22400.00,151.00,151.00,100.00,130.80,130.80,130.80,8.00,90.15,0.55,350.00,350.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21350.00,-,-,-,658.90,-,626.10,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22550.00,-,-,-,134.85,-,91.10,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20250.00,-,-,-,1570.05,-,1593.80,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21500.00,-,-,-,562.90,-,522.85,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21550.00,-,-,-,532.85,-,490.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22800.00,-,-,-,87.60,-,52.25,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20700.00,-,-,-,1162.35,-,1166.75,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22200.00,-,-,-,232.00,-,180.50,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21150.00,-,-,-,800.65,-,778.15,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22350.00,-,-,-,185.35,-,136.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21200.00,-,-,-,763.15,-,738.70,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21400.00,-,-,-,625.95,-,590.60,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22600.00,-,-,-,124.05,-,81.85,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21750.00,-,-,-,422.50,-,373.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20650.00,-,-,-,1205.85,-,1212.85,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22000.00,322.35,322.35,234.10,251.05,251.05,251.05,66.00,734.38,8.38,2500.00,2500.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22100.00,-,-,-,267.60,-,215.25,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21250.00,-,-,-,727.50,-,700.20,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22500.00,-,-,-,147.25,-,101.10,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,23050.00,-,-,-,54.85,-,28.30,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21700.00,404.20,411.10,382.20,411.10,411.10,411.10,44.00,486.26,8.86,1950.00,1950.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20550.00,-,-,-,1294.35,-,1306.25,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20800.00,-,-,-,1077.10,-,1076.00,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22050.00,-,-,-,286.80,-,234.35,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21300.00,-,-,-,692.75,-,662.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22450.00,-,-,-,158.45,-,111.95,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20350.00,-,-,-,1476.65,-,1496.95,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20950.00,-,-,-,953.90,-,944.15,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22150.00,-,-,-,249.35,-,197.35,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21050.00,-,-,-,875.35,-,859.55,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,23150.00,45.00,45.00,34.95,34.95,34.95,34.95,3.00,34.78,0.06,100.00,100.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20300.00,-,-,-,1523.20,-,1545.30,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20400.00,-,-,-,1430.50,-,1448.90,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21650.00,-,-,-,475.70,-,429.75,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22850.00,-,-,-,80.05,-,46.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20600.00,-,-,-,1249.85,-,1259.35,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21000.00,-,-,-,914.25,-,901.50,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22300.00,-,-,-,200.00,-,150.10,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22950.00,-,-,-,66.45,-,36.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,23000.00,-,-,-,60.45,-,32.15,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20150.00,-,-,-,1664.55,-,1691.30,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21450.00,-,-,-,593.95,-,556.20,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22650.00,-,-,-,114.00,-,73.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22700.00,-,-,-,104.55,-,65.70,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22750.00,-,-,-,95.80,-,58.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21850.00,-,-,-,373.25,-,322.40,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21600.00,506.90,506.90,433.00,433.00,433.00,459.65,7.00,77.22,1.62,200.00,200.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,22900.00,-,-,-,73.00,-,41.20,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20450.00,-,-,-,1384.70,-,1401.05,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,20500.00,-,-,-,1339.30,-,1353.50,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,CE,21800.00,345.00,351.95,345.00,351.95,351.95,347.40,16.00,177.19,2.79,800.00,800.00,21710.80
