Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Apr-2024,16-May-2024,CE,24200.00,-,-,-,55.75,-,31.40,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21800.00,-,-,-,1171.75,-,966.25,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22200.00,-,-,-,849.30,-,670.05,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21000.00,-,-,-,1909.65,-,1677.50,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22450.00,-,-,-,672.30,-,513.90,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23850.00,-,-,-,104.50,-,63.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22850.00,-,-,-,436.65,-,314.95,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21750.00,-,-,-,1214.85,-,1006.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22050.00,-,-,-,965.05,-,774.85,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23500.00,-,-,-,182.90,-,118.35,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21150.00,-,-,-,1765.50,-,1536.10,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22350.00,-,-,-,740.45,-,573.50,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21300.00,-,-,-,1623.30,-,1397.60,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22600.00,414.60,414.60,377.00,377.40,378.00,377.40,7.00,80.46,1.36,300.00,300.00,-
NIFTY,12-Apr-2024,16-May-2024,CE,23900.00,-,-,-,95.95,-,57.45,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21500.00,-,-,-,1437.80,-,1218.55,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22700.00,379.75,379.75,285.30,299.95,287.65,299.95,4.00,46.04,0.64,50.00,50.00,-
NIFTY,12-Apr-2024,16-May-2024,CE,24250.00,-,-,-,50.70,-,28.25,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,24300.00,-,-,-,46.00,-,25.35,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23250.00,-,-,-,262.30,-,177.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22150.00,-,-,-,887.15,-,704.10,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22300.00,-,-,-,775.85,-,604.75,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22400.00,-,-,-,705.95,-,543.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22500.00,-,-,-,639.55,-,485.60,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21400.00,-,-,-,1529.90,-,1307.15,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22900.00,-,-,-,411.45,-,294.50,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21900.00,-,-,-,1087.20,-,887.40,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23150.00,-,-,-,300.20,-,206.30,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23300.00,-,-,-,244.70,-,163.85,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23400.00,-,-,-,212.10,-,139.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22250.00,-,-,-,813.10,-,636.95,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23550.00,-,-,-,169.50,-,108.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22650.00,-,-,-,546.90,-,406.55,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21850.00,-,-,-,1129.15,-,926.45,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23100.00,-,-,-,320.55,-,222.15,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21950.00,-,-,-,1045.85,-,849.15,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22000.00,-,-,-,1005.10,-,811.65,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22100.00,-,-,-,925.75,-,739.05,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,22550.00,638.15,638.15,638.15,638.15,638.15,458.25,1.00,11.59,0.32,50.00,50.00,-
NIFTY,12-Apr-2024,16-May-2024,CE,24000.00,38.10,38.10,25.95,25.95,25.95,25.95,42.00,504.61,0.61,1900.00,1900.00,-
NIFTY,12-Apr-2024,16-May-2024,CE,21650.00,-,-,-,1302.65,-,1089.65,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21700.00,-,-,-,1258.50,-,1047.85,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23050.00,-,-,-,341.85,-,238.85,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,24400.00,-,-,-,37.75,-,20.35,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,24500.00,19.00,19.95,12.60,13.00,13.00,13.00,17.00,208.38,0.13,400.00,400.00,-
NIFTY,12-Apr-2024,16-May-2024,CE,23200.00,-,-,-,280.80,-,191.30,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23350.00,-,-,-,227.95,-,152.35,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23450.00,-,-,-,197.10,-,128.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21050.00,-,-,-,1861.40,-,1630.10,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,21100.00,-,-,-,1813.35,-,1582.95,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23700.00,-,-,-,134.00,-,83.45,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,CE,23750.00,-,-,-,123.50,-,76.15,-,-,-,-,-,-
