Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,18-Nov-2024,19-Dec-2024,CE,22600.00,-,-,-,1173.55,-,1046.90,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24000.00,239.15,239.15,185.65,211.40,211.40,211.40,16.00,96.87,0.87,300.00,300.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22900.00,-,-,-,937.65,-,804.00,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24350.00,-,-,-,200.55,-,111.90,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,21850.00,-,-,-,1843.05,-,1737.55,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,21900.00,-,-,-,1795.95,-,1689.30,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22200.00,-,-,-,1519.50,-,1404.80,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24900.00,-,-,-,89.30,-,37.05,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,25050.00,-,-,-,69.95,-,26.45,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22550.00,-,-,-,1215.00,-,1089.80,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22700.00,-,-,-,1092.35,-,963.05,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23000.00,-,-,-,864.35,-,729.40,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24300.00,-,-,-,214.50,-,122.45,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23100.00,-,-,-,794.25,-,658.35,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22100.00,-,-,-,1610.30,-,1498.50,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22350.00,-,-,-,1386.20,-,1267.00,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,25100.00,67.55,67.55,67.55,67.55,67.55,23.55,1.00,6.29,0.02,25.00,25.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23950.00,-,-,-,333.50,-,219.50,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24100.00,192.55,192.55,185.80,185.80,185.80,172.60,8.00,48.58,0.38,100.00,100.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23050.00,-,-,-,828.90,-,693.40,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24650.00,-,-,-,131.15,-,62.85,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23400.00,530.60,535.00,470.90,535.00,535.00,468.90,13.00,77.68,1.63,50.00,50.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23500.00,403.90,474.80,368.70,439.55,450.00,439.55,28.00,167.59,3.09,300.00,300.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22150.00,-,-,-,1564.70,-,1451.45,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22800.00,-,-,-,1013.65,-,881.95,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22850.00,-,-,-,975.30,-,842.60,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24500.00,-,-,-,163.05,-,84.50,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24700.00,-,-,-,121.75,-,56.75,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22050.00,-,-,-,1656.25,-,1545.80,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24800.00,-,-,-,104.50,-,46.05,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23600.00,403.35,423.55,392.25,392.25,392.25,363.50,4.00,24.01,0.41,50.00,50.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24850.00,101.45,101.45,101.45,101.45,101.45,41.35,1.00,6.24,0.03,25.00,25.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,25250.00,-,-,-,49.75,-,16.45,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22750.00,-,-,-,1052.70,-,922.15,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,25300.00,45.55,45.55,20.00,21.00,21.00,21.00,13.00,82.30,0.08,250.00,250.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23250.00,-,-,-,695.10,-,559.05,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23350.00,-,-,-,633.10,-,497.90,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,24750.00,-,-,-,112.85,-,51.15,-,-,-,-,-,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,23550.00,545.35,545.35,545.35,545.35,545.35,388.25,1.00,6.02,0.14,25.00,25.00,-
NIFTY,18-Nov-2024,19-Dec-2024,CE,22250.00,-,-,-,1474.65,-,1358.45,-,-,-,-,-,-
