Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-Jan-2024,25-Apr-2024,CE,20550.00,-,-,-,1357.05,-,1591.20,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21200.00,-,-,-,912.45,-,1072.40,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22200.00,-,-,-,426.45,-,481.35,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21250.00,-,-,-,882.35,-,1036.35,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21750.00,-,-,-,614.80,-,712.40,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20100.00,-,-,-,1715.15,-,1992.60,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22250.00,-,-,-,408.45,-,459.30,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22900.00,-,-,-,223.25,-,234.25,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20850.00,-,-,-,1139.95,-,1341.05,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,19850.00,-,-,-,1928.35,-,2225.30,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21600.00,-,-,-,688.65,-,802.35,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22550.00,-,-,-,312.15,-,341.60,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,23050.00,-,-,-,191.90,-,197.10,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22600.00,-,-,-,297.95,-,324.40,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,19700.00,-,-,-,2060.25,-,2367.25,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21900.00,-,-,-,546.60,-,628.85,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20950.00,-,-,-,1072.05,-,1261.50,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21450.00,-,-,-,767.95,-,898.65,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20350.00,-,-,-,1511.75,-,1766.30,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,19900.00,-,-,-,1885.00,-,2178.35,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21100.00,-,-,-,974.55,-,1146.30,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,23100.00,-,-,-,182.25,-,185.85,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,19600.00,-,-,-,2149.70,-,2462.65,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22000.00,525.00,696.20,525.00,656.75,678.00,656.75,424.00,4794.74,130.74,11250.00,11250.00,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22450.00,-,-,-,342.10,-,378.10,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20900.00,-,-,-,1105.75,-,1301.00,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22500.00,344.00,443.25,344.00,417.95,443.25,417.95,62.00,710.00,12.50,2500.00,2500.00,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20400.00,-,-,-,1472.35,-,1722.00,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21050.00,-,-,-,1006.45,-,1184.15,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20500.00,-,-,-,1395.00,-,1634.45,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20650.00,-,-,-,1282.65,-,1506.05,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,21800.00,-,-,-,591.45,-,683.80,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20700.00,-,-,-,1247.00,-,1464.10,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20750.00,-,-,-,1211.00,-,1422.60,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,20300.00,-,-,-,1551.60,-,1810.95,-,-,-,-,-,-
NIFTY,29-Jan-2024,25-Apr-2024,CE,22950.00,-,-,-,212.35,-,221.30,-,-,-,-,-,-
