Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01-Dec-2023,29-Feb-2024,CE,19550.00,-,-,-,1159.60,-,1169.40,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20950.00,-,-,-,400.85,-,346.70,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19950.00,-,-,-,891.25,-,875.60,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20000.00,816.70,840.00,800.15,817.55,810.00,817.55,131.00,1363.72,53.72,4300.00,4300.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,18850.00,-,-,-,1710.25,-,1766.70,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20500.00,472.00,500.55,464.10,487.10,480.00,487.10,698.00,7324.33,169.83,19150.00,19150.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19300.00,-,-,-,1344.90,-,1372.45,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20900.00,-,-,-,419.35,-,365.85,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21050.00,-,-,-,365.75,-,310.60,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21400.00,-,-,-,260.75,-,205.90,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20100.00,-,-,-,801.20,-,776.75,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21500.00,-,-,-,236.45,-,181.70,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20200.00,674.90,685.00,672.60,676.00,676.00,676.00,32.00,334.06,10.86,1500.00,1500.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,18800.00,-,-,-,1752.95,-,1812.25,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20450.00,-,-,-,613.70,-,572.50,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20700.00,-,-,-,499.35,-,449.95,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20750.00,502.35,502.35,502.35,502.35,502.35,427.80,1.00,10.63,0.25,50.00,50.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20800.00,-,-,-,458.10,-,406.40,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21300.00,-,-,-,288.00,-,232.55,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,18900.00,-,-,-,1667.90,-,1721.40,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19250.00,-,-,-,1383.65,-,1414.60,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21250.00,-,-,-,302.45,-,246.80,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20050.00,1284.00,1284.00,1284.00,1284.00,1284.00,809.00,1.00,10.67,0.64,50.00,50.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21600.00,-,-,-,212.55,-,159.85,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,18700.00,-,-,-,1839.40,-,1904.30,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19350.00,-,-,-,1306.65,-,1330.80,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19450.00,-,-,-,1231.75,-,1249.00,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21000.00,332.60,332.60,239.65,248.45,250.00,248.45,738.00,7843.04,94.04,19850.00,19850.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19650.00,-,-,-,1088.30,-,1092.10,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19900.00,888.55,907.00,888.55,907.00,907.00,910.00,5.00,52.00,2.25,250.00,250.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20150.00,-,-,-,772.50,-,745.30,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20350.00,-,-,-,664.05,-,627.00,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19000.00,-,-,-,1584.50,-,1631.85,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19700.00,-,-,-,1053.95,-,1054.40,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19800.00,-,-,-,987.00,-,980.85,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21450.00,-,-,-,247.90,-,193.50,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,18950.00,-,-,-,1626.00,-,1676.45,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19100.00,-,-,-,1502.80,-,1543.70,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20650.00,-,-,-,520.95,-,472.90,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19400.00,-,-,-,1268.90,-,1289.65,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19500.00,1200.00,1200.00,1158.90,1158.90,1158.90,1158.90,2.00,20.68,1.18,100.00,100.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21100.00,-,-,-,349.05,-,293.60,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21200.00,-,-,-,317.40,-,261.75,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21350.00,280.45,280.45,229.50,229.50,229.50,218.90,4.00,43.23,0.53,200.00,200.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21650.00,140.00,147.05,81.60,82.25,81.60,82.25,40.00,434.85,1.85,1550.00,1550.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20250.00,650.00,650.00,650.00,650.00,650.00,684.60,1.00,10.45,0.33,50.00,50.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20600.00,-,-,-,543.15,-,496.65,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19750.00,-,-,-,1020.15,-,1017.30,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21150.00,-,-,-,332.95,-,277.35,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19850.00,-,-,-,954.50,-,945.10,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,21550.00,-,-,-,224.70,-,170.50,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,18650.00,-,-,-,1883.15,-,1950.70,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,18750.00,-,-,-,1796.00,-,1858.15,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20300.00,636.45,636.45,603.40,611.65,611.65,655.40,28.00,292.77,8.57,1000.00,1000.00,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20400.00,-,-,-,638.60,-,599.35,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19050.00,-,-,-,1543.40,-,1587.60,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20550.00,-,-,-,566.00,-,521.15,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19150.00,-,-,-,1462.60,-,1500.25,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19200.00,-,-,-,1422.85,-,1457.20,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,20850.00,-,-,-,438.40,-,385.75,-,-,-,-,-,20267.90
NIFTY,01-Dec-2023,29-Feb-2024,CE,19600.00,-,-,-,1123.20,-,1130.45,-,-,-,-,-,20267.90
NIFTY,04-Dec-2023,29-Feb-2024,CE,19550.00,-,-,-,1159.60,-,1517.80,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21000.00,352.70,467.00,324.45,451.95,455.50,451.95,1740.00,18623.82,353.82,47250.00,27400.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,18650.00,-,-,-,1883.15,-,2345.40,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20300.00,781.15,899.20,703.00,899.20,899.20,928.05,21.00,221.83,8.68,1250.00,250.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21700.00,-,-,-,191.20,-,244.45,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20500.00,633.05,782.35,631.80,766.70,766.00,766.70,1032.00,10936.55,358.55,33300.00,14150.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19250.00,-,-,-,1383.65,-,1783.75,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19900.00,-,-,-,907.00,907.00,1226.95,-,-,-,250.00,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20100.00,-,-,-,801.20,-,1072.50,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20150.00,-,-,-,772.50,-,1035.40,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21600.00,198.00,227.95,198.00,205.25,227.95,205.25,30.00,327.05,3.05,1000.00,1000.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20450.00,-,-,-,613.70,-,826.85,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,18950.00,-,-,-,1626.00,-,2060.80,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19050.00,-,-,-,1543.40,-,1967.45,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19200.00,-,-,-,1422.85,-,1829.25,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20700.00,499.10,676.55,499.10,631.10,643.00,631.10,49.00,521.67,14.52,1850.00,1850.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19300.00,-,-,-,1344.90,-,1738.55,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20750.00,525.00,525.00,525.00,525.00,525.00,644.15,1.00,10.64,0.26,100.00,50.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19750.00,-,-,-,1020.15,-,1348.65,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20200.00,700.00,908.45,700.00,895.00,895.00,998.95,13.00,137.07,5.77,1550.00,50.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19150.00,-,-,-,1462.60,-,1875.05,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20900.00,-,-,-,419.35,-,563.00,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19500.00,1408.35,1544.80,1408.35,1544.80,1544.80,1561.20,32.00,335.44,23.44,1600.00,1500.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19600.00,-,-,-,1123.20,-,1474.85,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19650.00,-,-,-,1088.30,-,1432.30,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19950.00,-,-,-,891.25,-,1187.45,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21350.00,250.00,286.00,250.00,285.50,286.00,285.50,4.00,43.24,0.54,250.00,50.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20000.00,1025.10,1173.00,995.00,1157.95,1150.00,1157.95,292.00,3077.04,157.04,14000.00,9700.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,18700.00,-,-,-,1839.40,-,2297.55,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,18800.00,-,-,-,1752.95,-,2202.35,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,18900.00,-,-,-,1667.90,-,2107.75,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20800.00,535.00,535.00,535.00,535.00,535.00,616.30,5.00,53.34,1.34,250.00,250.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19400.00,-,-,-,1268.90,-,1649.15,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19450.00,-,-,-,1231.75,-,1604.95,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20950.00,395.30,481.30,395.30,481.30,481.30,481.30,4.00,42.75,0.85,100.00,100.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21250.00,-,-,-,302.45,-,400.55,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21500.00,180.00,236.45,150.00,229.15,236.45,229.15,1293.00,14028.76,129.01,25350.00,25350.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,18850.00,-,-,-,1710.25,-,2154.95,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20850.00,-,-,-,438.40,-,589.30,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21150.00,-,-,-,332.95,-,443.20,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20250.00,-,-,-,650.00,650.00,963.15,-,-,-,50.00,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20400.00,698.10,795.00,698.10,795.00,795.00,859.85,15.00,158.55,5.55,650.00,650.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20550.00,-,-,-,566.00,-,762.95,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20600.00,625.00,748.20,625.00,706.15,695.00,706.15,62.00,660.31,21.71,2700.00,2700.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21050.00,-,-,-,365.75,-,488.80,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21100.00,-,-,-,349.05,-,465.60,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19700.00,-,-,-,1053.95,-,1390.25,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21300.00,-,-,-,288.00,-,380.40,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21400.00,-,-,-,260.75,-,342.20,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21550.00,-,-,-,224.70,-,290.30,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20350.00,-,-,-,664.05,-,893.60,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21750.00,161.80,161.80,119.95,123.05,123.05,230.50,30.00,328.16,1.91,600.00,600.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19000.00,1900.00,2030.00,1900.00,2030.00,2030.00,2014.00,28.00,292.89,26.89,1350.00,1350.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19100.00,-,-,-,1502.80,-,1921.10,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21200.00,-,-,-,317.40,-,421.50,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19850.00,-,-,-,954.50,-,1266.95,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21450.00,-,-,-,247.90,-,324.20,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20050.00,750.00,750.00,750.00,750.00,750.00,1110.20,1.00,10.40,0.38,-,-50.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,21650.00,82.25,200.00,82.25,170.05,170.05,170.05,64.00,697.28,4.48,2050.00,500.00,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,18750.00,-,-,-,1796.00,-,2249.90,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,20650.00,-,-,-,520.95,-,702.05,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19350.00,-,-,-,1306.65,-,1693.65,-,-,-,-,-,20686.80
NIFTY,04-Dec-2023,29-Feb-2024,CE,19800.00,-,-,-,987.00,-,1307.55,-,-,-,-,-,20686.80
NIFTY,05-Dec-2023,29-Feb-2024,CE,18900.00,-,-,-,1667.90,-,2266.80,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21850.00,-,-,-,162.45,-,250.45,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21950.00,-,-,-,145.30,-,222.60,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,22050.00,-,-,-,129.70,-,197.25,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20650.00,-,-,-,520.95,-,806.75,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20700.00,665.00,738.00,643.05,734.50,734.50,734.50,102.00,1090.87,35.17,3500.00,1650.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,22200.00,-,-,-,108.90,-,163.55,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19500.00,1561.20,1636.00,1561.20,1636.00,1636.00,1709.80,8.00,84.43,6.43,1800.00,200.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21250.00,417.65,417.65,417.65,417.65,417.65,417.65,1.00,10.83,0.21,50.00,50.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19900.00,-,-,-,907.00,907.00,1363.80,-,-,-,250.00,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21350.00,290.00,342.35,279.15,342.35,342.35,430.10,5.00,54.12,0.75,250.00,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20000.00,1171.85,1286.60,1171.85,1279.80,1279.40,1279.80,186.00,1975.32,115.32,18800.00,4800.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20200.00,-,-,-,895.00,895.00,1124.35,-,-,-,1550.00,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,18800.00,-,-,-,1752.95,-,2362.45,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,18950.00,-,-,-,1626.00,-,2219.25,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19050.00,-,-,-,1543.40,-,2124.60,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20750.00,676.40,676.40,608.75,639.20,639.20,743.85,5.00,53.48,1.60,150.00,50.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20950.00,-,-,-,481.30,481.30,627.05,-,-,-,100.00,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21000.00,460.25,561.80,455.50,546.30,561.80,546.30,1188.00,12783.37,309.37,42600.00,-4650.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19600.00,-,-,-,1123.20,-,1620.90,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21150.00,-,-,-,332.95,-,522.45,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,18650.00,-,-,-,1883.15,-,2506.80,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21700.00,180.00,227.05,178.50,224.90,225.00,224.90,247.00,2705.82,25.87,5750.00,5750.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19100.00,-,-,-,1502.80,-,2077.50,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,22150.00,-,-,-,115.50,-,174.25,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20900.00,584.00,595.00,535.00,573.00,573.00,655.10,12.00,128.83,3.43,450.00,450.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21200.00,411.10,441.00,380.00,429.00,429.50,429.00,53.00,573.08,11.28,2200.00,2200.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20300.00,1044.45,1044.45,1044.45,1044.45,1044.45,1044.45,2.00,21.34,1.04,1150.00,-100.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21050.00,-,-,-,365.75,-,573.20,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21400.00,-,-,-,260.75,-,408.90,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21450.00,-,-,-,247.90,-,388.40,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,18700.00,-,-,-,1839.40,-,2458.55,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20350.00,-,-,-,664.05,-,1012.55,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20400.00,886.25,948.50,886.25,942.30,942.30,976.50,6.00,63.98,2.78,700.00,50.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20450.00,-,-,-,613.70,-,941.20,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19300.00,-,-,-,1344.90,-,1891.50,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19400.00,-,-,-,1268.90,-,1800.05,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19800.00,-,-,-,987.00,-,1447.75,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20150.00,-,-,-,772.50,-,1162.90,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,20250.00,-,-,-,650.00,650.00,1086.45,-,-,-,50.00,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,21800.00,-,-,-,171.60,-,265.30,-,-,-,-,-,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19000.00,2022.55,2061.15,2022.55,2061.15,2061.15,2061.15,3.00,31.57,3.07,1500.00,150.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,22000.00,177.00,177.00,120.25,141.05,145.00,141.05,192.00,2125.11,13.11,5450.00,5450.00,20855.10
NIFTY,05-Dec-2023,29-Feb-2024,CE,19200.00,-,-,-,1422.85,-,1984.05,-,-,-,-,-,20855.10
