Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01-Mar-2024,30-May-2024,PE,20900.00,-,-,-,146.85,-,53.70,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,22050.00,-,-,-,486.75,-,275.60,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,23500.00,-,-,-,1344.90,-,1027.75,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,23050.00,-,-,-,1028.70,-,733.55,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,23650.00,-,-,-,1457.55,-,1136.55,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,22200.00,580.75,580.75,524.75,529.10,532.00,529.10,205.00,2330.70,55.20,8800.00,8800.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,21900.00,431.05,431.05,431.05,431.05,431.05,431.05,1.00,11.17,0.22,50.00,50.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,20450.00,-,-,-,81.25,-,23.50,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,21200.00,225.25,250.00,225.25,250.00,250.00,250.00,3.00,32.16,0.36,150.00,150.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,20750.00,-,-,-,121.60,-,41.30,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,21250.00,-,-,-,221.15,-,94.50,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,20850.00,-,-,-,138.00,-,49.25,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,22450.00,-,-,-,675.45,-,425.40,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,23600.00,-,-,-,1419.30,-,1099.75,-,-,-,-,-,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,21500.00,355.00,360.00,315.00,318.15,319.55,318.15,450.00,4910.69,73.19,15800.00,15800.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,PE,20500.00,141.60,141.65,133.85,134.35,134.75,134.35,463.00,4777.89,32.14,17550.00,17550.00,22338.75
