Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,05-Jan-2024,08-Feb-2024,PE,23100.00,-,-,-,1330.20,-,1269.30,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21200.00,-,-,-,156.90,-,95.05,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20350.00,-,-,-,26.30,-,8.60,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22850.00,-,-,-,1112.25,-,1042.40,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22000.00,-,-,-,495.10,-,405.85,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22100.00,-,-,-,555.05,-,465.95,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22300.00,720.45,720.45,720.45,720.45,720.45,599.55,1.00,11.51,0.36,50.00,50.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22900.00,-,-,-,1154.85,-,1086.85,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22500.00,-,-,-,831.90,-,749.25,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21450.00,-,-,-,235.95,-,160.95,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20200.00,-,-,-,17.85,-,5.05,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22650.00,-,-,-,947.60,-,870.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21750.00,-,-,-,362.40,-,276.55,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20750.00,69.65,69.65,69.65,69.65,69.65,69.65,2.00,20.82,0.07,100.00,100.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20150.00,-,-,-,15.60,-,4.20,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21400.00,-,-,-,218.30,-,145.70,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22750.00,-,-,-,1028.70,-,955.25,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22150.00,-,-,-,586.45,-,497.70,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21000.00,100.00,108.95,82.00,82.00,82.00,82.00,48.00,506.34,2.34,1700.00,1700.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22950.00,-,-,-,1198.00,-,1131.80,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21300.00,140.00,155.45,132.70,142.75,155.45,142.75,4.00,42.88,0.28,100.00,100.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21350.00,-,-,-,201.55,-,131.50,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22700.00,-,-,-,987.85,-,912.60,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21600.00,259.00,259.00,230.75,230.75,230.75,230.75,3.00,32.77,0.37,100.00,100.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20450.00,-,-,-,33.65,-,12.05,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21700.00,294.60,294.60,294.60,294.60,294.60,254.30,2.00,21.99,0.29,50.00,50.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21800.00,-,-,-,386.90,-,300.00,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20800.00,-,-,-,73.60,-,34.85,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20950.00,-,-,-,99.40,-,52.00,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22450.00,-,-,-,793.45,-,710.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,23000.00,-,-,-,1241.60,-,1177.20,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21550.00,-,-,-,274.15,-,194.80,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20400.00,-,-,-,29.80,-,10.20,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20550.00,-,-,-,42.60,-,16.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20600.00,-,-,-,47.75,-,19.45,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20650.00,-,-,-,53.40,-,22.60,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20700.00,50.00,50.00,50.00,50.00,50.00,50.00,1.00,10.38,0.03,50.00,50.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22250.00,-,-,-,652.00,-,564.55,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21150.00,-,-,-,144.75,-,84.80,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21250.00,-,-,-,170.90,-,106.20,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22550.00,-,-,-,869.15,-,788.95,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20500.00,39.55,39.55,38.10,39.00,39.00,39.00,32.00,328.62,0.62,1350.00,1350.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21850.00,-,-,-,412.45,-,324.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21900.00,-,-,-,439.00,-,350.50,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22400.00,-,-,-,756.85,-,672.55,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,23050.00,-,-,-,1285.70,-,1223.05,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21500.00,217.90,217.90,191.05,208.05,208.05,177.30,24.00,260.50,2.50,1100.00,1100.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22800.00,-,-,-,1070.20,-,998.55,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20900.00,-,-,-,90.10,-,45.65,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22050.00,-,-,-,524.60,-,435.35,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21050.00,110.00,115.00,110.00,115.00,115.00,66.85,10.00,105.81,0.56,500.00,500.00,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22200.00,-,-,-,618.75,-,530.60,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21100.00,-,-,-,131.60,-,75.40,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22350.00,-,-,-,721.05,-,635.55,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,23150.00,-,-,-,1375.15,-,1315.90,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,22600.00,-,-,-,908.05,-,829.40,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20250.00,-,-,-,20.35,-,6.05,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21650.00,-,-,-,316.30,-,233.25,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,21950.00,-,-,-,466.55,-,377.60,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20850.00,-,-,-,81.55,-,39.95,-,-,-,-,-,21710.80
NIFTY,05-Jan-2024,08-Feb-2024,PE,20300.00,-,-,-,23.20,-,7.25,-,-,-,-,-,21710.80
NIFTY,08-Jan-2024,08-Feb-2024,PE,21350.00,-,-,-,201.55,-,182.85,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22550.00,-,-,-,869.15,-,956.00,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20600.00,-,-,-,47.75,-,29.00,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22150.00,-,-,-,586.45,-,629.80,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21100.00,-,-,-,131.60,-,107.75,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22300.00,-,-,-,720.45,720.45,745.95,-,-,-,50.00,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21200.00,-,-,-,156.90,-,134.35,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,23300.00,-,-,-,1512.20,-,1659.35,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20000.00,19.00,19.50,19.00,19.50,19.50,3.60,4.00,40.04,0.04,200.00,200.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20200.00,-,-,-,17.85,-,7.70,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,23000.00,-,-,-,1241.60,-,1369.60,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21300.00,180.00,211.80,180.00,200.70,190.40,200.70,44.00,473.00,4.40,650.00,550.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22700.00,-,-,-,987.85,-,1089.85,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20550.00,-,-,-,42.60,-,24.95,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20700.00,51.00,70.00,51.00,70.00,70.00,70.00,3.00,31.14,0.09,200.00,150.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20850.00,-,-,-,81.55,-,58.50,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20950.00,-,-,-,99.40,-,75.45,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21000.00,88.00,121.90,88.00,115.35,118.05,115.35,131.00,1382.49,6.99,4750.00,3050.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22350.00,-,-,-,721.05,-,786.40,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22900.00,-,-,-,1154.85,-,1274.90,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20100.00,22.10,24.00,22.10,24.00,24.00,5.30,5.00,50.31,0.06,250.00,250.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20250.00,-,-,-,20.35,-,9.20,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22750.00,-,-,-,1028.70,-,1135.50,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20350.00,-,-,-,26.30,-,13.05,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22800.00,-,-,-,1070.20,-,1181.60,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21800.00,-,-,-,386.90,-,395.55,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20650.00,-,-,-,53.40,-,33.65,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21900.00,-,-,-,439.00,-,456.70,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21950.00,-,-,-,466.55,-,489.10,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22100.00,-,-,-,555.05,-,593.00,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22200.00,-,-,-,618.75,-,667.55,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22450.00,-,-,-,793.45,-,869.80,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,23100.00,-,-,-,1330.20,-,1465.35,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,23150.00,-,-,-,1375.15,-,1513.60,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,23450.00,-,-,-,1652.05,-,1806.30,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20050.00,-,-,-,11.80,-,4.35,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21600.00,293.65,305.00,279.00,305.00,305.00,305.00,10.00,109.45,1.45,300.00,200.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21750.00,-,-,-,362.40,-,366.85,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20750.00,62.65,62.65,62.65,62.65,62.65,44.70,2.00,20.81,0.06,-,-100.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22000.00,426.00,548.70,403.15,548.70,548.70,548.70,136.00,1528.53,32.53,1100.00,1100.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21050.00,110.00,115.00,103.50,103.50,103.50,96.00,11.00,116.39,0.61,1050.00,550.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21150.00,-,-,-,144.75,-,120.50,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22950.00,-,-,-,1198.00,-,1322.10,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,23050.00,-,-,-,1285.70,-,1417.35,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22500.00,-,-,-,831.90,-,912.55,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,21450.00,-,-,-,235.95,-,221.20,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22600.00,-,-,-,908.05,-,1000.05,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22650.00,-,-,-,947.60,-,1044.70,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20300.00,-,-,-,23.20,-,11.00,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,20900.00,90.00,105.00,90.00,102.00,105.00,102.00,12.00,125.96,0.56,600.00,600.00,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,22400.00,-,-,-,756.85,-,827.75,-,-,-,-,-,21513.00
NIFTY,08-Jan-2024,08-Feb-2024,PE,23400.00,-,-,-,1605.15,-,1757.20,-,-,-,-,-,21513.00
