Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,06-Sep-2024,10-Oct-2024,PE,25650.00,-,-,-,694.35,-,876.90,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25700.00,-,-,-,725.00,-,911.90,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24850.00,-,-,-,306.80,-,416.15,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24900.00,341.60,407.05,340.00,389.05,389.05,439.15,9.00,56.84,0.82,50.00,50.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26050.00,-,-,-,958.85,-,1174.60,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23700.00,-,-,-,57.05,-,87.15,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26150.00,-,-,-,1031.55,-,1254.70,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23900.00,-,-,-,80.40,-,120.15,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25200.00,-,-,-,452.40,-,593.70,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25350.00,-,-,-,526.15,-,681.50,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24200.00,-,-,-,128.95,-,187.60,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25450.00,-,-,-,579.20,-,743.75,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26700.00,-,-,-,1470.90,-,1727.15,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24450.00,-,-,-,185.40,-,260.00,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23450.00,-,-,-,35.90,-,56.40,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23550.00,-,-,-,43.40,-,67.45,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23600.00,-,-,-,47.60,-,73.55,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23800.00,-,-,-,67.90,-,102.60,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26300.00,-,-,-,1145.30,-,1378.55,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24400.00,-,-,-,172.15,-,243.90,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24550.00,-,-,-,210.75,-,294.45,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25800.00,-,-,-,788.40,-,983.85,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26000.00,-,-,-,923.45,-,1135.35,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23650.00,-,-,-,52.15,-,80.15,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26400.00,-,-,-,1223.75,-,1463.40,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24300.00,130.00,140.00,130.00,140.00,140.00,213.80,60.00,366.52,2.02,1500.00,1500.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24500.00,-,-,-,198.20,-,276.85,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26850.00,-,-,-,1600.25,-,1863.45,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24600.00,-,-,-,225.00,-,312.80,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24750.00,-,-,-,271.95,-,372.45,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25950.00,-,-,-,888.70,-,1096.65,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26200.00,-,-,-,1070.00,-,1295.50,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26350.00,-,-,-,1184.30,-,1420.75,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24150.00,-,-,-,119.60,-,174.05,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26550.00,-,-,-,1345.25,-,1593.65,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26800.00,-,-,-,1556.75,-,1817.70,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26900.00,-,-,-,1644.10,-,1909.40,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23400.00,38.00,70.00,38.00,63.50,70.00,63.50,30.00,175.94,0.44,600.00,600.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25900.00,-,-,-,854.60,-,1059.55,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23500.00,-,-,-,39.50,-,61.75,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24050.00,130.00,130.00,130.00,130.00,130.00,150.70,2.00,12.09,0.07,50.00,50.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25300.00,-,-,-,500.75,-,651.45,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26650.00,-,-,-,1428.60,-,1682.30,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24700.00,-,-,-,255.60,-,351.80,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25850.00,-,-,-,821.15,-,1021.85,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24800.00,250.00,375.00,250.00,368.55,340.00,368.55,23.00,144.55,1.95,250.00,250.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24950.00,-,-,-,344.65,-,462.95,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26100.00,-,-,-,994.90,-,1214.40,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26250.00,-,-,-,1106.90,-,1336.80,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25100.00,376.00,533.35,338.40,501.20,492.90,501.20,9.00,57.43,0.96,75.00,75.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23950.00,-,-,-,87.30,-,129.75,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25250.00,-,-,-,476.25,-,622.20,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26450.00,-,-,-,1263.75,-,1506.40,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26500.00,-,-,-,1304.30,-,1549.85,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25400.00,-,-,-,552.30,-,712.25,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26600.00,-,-,-,1386.70,-,1637.80,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24250.00,-,-,-,138.90,-,199.80,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25500.00,670.95,783.90,651.75,770.45,770.45,776.00,43.00,281.36,7.23,25.00,25.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23850.00,-,-,-,73.95,-,111.15,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25150.00,467.30,530.00,452.80,530.00,530.00,530.00,65.00,416.72,8.03,725.00,725.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24000.00,76.90,148.70,76.90,139.70,141.50,139.70,642.00,3871.92,19.92,6200.00,6200.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24100.00,-,-,-,110.75,-,162.05,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25550.00,-,-,-,635.30,-,808.90,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25600.00,-,-,-,664.45,-,842.55,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,26750.00,-,-,-,1513.65,-,1772.30,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25750.00,-,-,-,756.35,-,947.55,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24650.00,251.95,305.90,251.95,305.90,305.90,305.90,10.00,62.34,0.71,150.00,150.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,23750.00,-,-,-,62.30,-,94.65,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25000.00,362.00,430.15,320.75,430.15,430.15,430.15,38.00,241.21,3.71,75.00,75.00,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,25050.00,-,-,-,385.45,-,512.85,-,-,-,-,-,24852.15
NIFTY,06-Sep-2024,10-Oct-2024,PE,24350.00,-,-,-,160.45,-,228.50,-,-,-,-,-,24852.15
NIFTY,09-Sep-2024,10-Oct-2024,PE,23450.00,-,-,-,35.90,-,41.45,-,-,-,-,-,24936.40
NIFTY,09-Sep-2024,10-Oct-2024,PE,23650.00,-,-,-,52.15,-,60.85,-,-,-,-,-,24936.40
NIFTY,09-Sep-2024,10-Oct-2024,PE,23700.00,-,-,-,57.05,-,66.65,-,-,-,-,-,24936.40
NIFTY,09-Sep-2024,10-Oct-2024,PE,25100.00,485.35,485.35,450.75,450.75,450.75,481.00,4.00,25.57,0.47,50.00,-25.00,24936.40
NIFTY,09-Sep-2024,10-Oct-2024,PE,25200.00,505.05,557.50,463.25,463.25,463.25,463.25,341.00,2193.20,44.90,675.00,675.00,24936.40
