Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,09-Aug-2024,12-Sep-2024,PE,22450.00,-,-,-,35.80,-,21.25,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,25050.00,-,-,-,978.60,-,805.35,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,25150.00,-,-,-,1053.65,-,872.90,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,22750.00,-,-,-,62.55,-,39.10,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,24050.00,-,-,-,393.40,-,294.05,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,25300.00,-,-,-,1167.95,-,979.25,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,24350.00,-,-,-,537.35,-,415.00,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,25800.00,-,-,-,1584.40,-,1371.95,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,23450.00,-,-,-,188.30,-,130.05,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,24650.00,-,-,-,709.20,-,563.90,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,23800.00,-,-,-,294.60,-,213.80,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,25200.00,-,-,-,1090.55,-,907.70,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,23000.00,-,-,-,95.55,-,62.15,-,-,-,-,-,24367.50
NIFTY,09-Aug-2024,12-Sep-2024,PE,25500.00,-,-,-,1329.05,-,1129.90,-,-,-,-,-,24367.50
