Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Apr-2024,16-May-2024,PE,23900.00,-,-,-,1075.45,-,1276.10,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21500.00,-,-,-,34.05,-,53.45,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21550.00,-,-,-,38.25,-,59.60,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22700.00,255.35,255.35,243.60,243.60,243.60,408.85,2.00,22.95,0.25,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21600.00,-,-,-,42.80,-,66.25,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22850.00,-,-,-,373.45,-,490.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24200.00,-,-,-,1333.15,-,1548.00,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23000.00,-,-,-,449.85,-,581.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23150.00,-,-,-,534.90,-,680.00,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21950.00,-,-,-,88.90,-,131.00,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23300.00,-,-,-,628.35,-,786.55,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22350.00,-,-,-,180.75,-,252.65,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21150.00,-,-,-,14.15,-,23.40,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23750.00,-,-,-,954.05,-,1145.80,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22800.00,-,-,-,349.90,-,462.45,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21900.00,-,-,-,80.60,-,119.60,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23400.00,-,-,-,695.10,-,861.75,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23800.00,-,-,-,993.90,-,1188.75,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22550.00,215.05,220.00,198.00,198.00,198.00,336.00,7.00,79.68,0.75,250.00,250.00,-
NIFTY,12-Apr-2024,16-May-2024,PE,21400.00,-,-,-,26.80,-,42.75,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24100.00,-,-,-,1245.30,-,1455.90,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24150.00,-,-,-,1289.00,-,1501.80,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21800.00,-,-,-,65.85,-,99.10,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24350.00,-,-,-,1468.05,-,1688.30,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23200.00,-,-,-,565.15,-,714.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22200.00,-,-,-,140.65,-,200.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21050.00,-,-,-,10.75,-,18.05,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22650.00,299.40,299.40,225.95,237.30,237.30,383.65,4.00,45.81,0.51,100.00,100.00,-
NIFTY,12-Apr-2024,16-May-2024,PE,22900.00,-,-,-,397.90,-,519.90,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24500.00,-,-,-,1606.10,-,1830.80,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22050.00,-,-,-,107.45,-,156.00,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22150.00,-,-,-,128.85,-,184.60,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23450.00,-,-,-,729.70,-,900.35,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23600.00,-,-,-,839.45,-,1020.30,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21200.00,-,-,-,16.15,-,26.50,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21350.00,-,-,-,23.70,-,38.05,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21450.00,-,-,-,30.25,-,47.85,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23950.00,-,-,-,1117.10,-,1320.45,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24000.00,-,-,-,1159.30,-,1365.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24050.00,-,-,-,1202.05,-,1410.35,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21700.00,-,-,-,53.35,-,81.40,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21850.00,-,-,-,72.95,-,109.00,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22100.00,-,-,-,117.80,-,169.85,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22300.00,-,-,-,166.50,-,234.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23550.00,-,-,-,801.40,-,979.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22400.00,-,-,-,195.90,-,272.00,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22450.00,-,-,-,211.90,-,292.35,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21650.00,50.25,50.25,45.20,45.20,45.20,73.55,2.00,21.70,0.05,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24250.00,-,-,-,1377.75,-,1594.50,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23050.00,-,-,-,477.25,-,613.25,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23100.00,-,-,-,505.60,-,646.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23250.00,-,-,-,596.30,-,750.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23350.00,-,-,-,661.30,-,824.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21100.00,-,-,-,12.35,-,20.55,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21250.00,-,-,-,18.40,-,30.00,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21300.00,-,-,-,20.90,-,33.85,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22750.00,-,-,-,327.35,-,435.15,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21750.00,-,-,-,59.35,-,89.90,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24400.00,-,-,-,1513.75,-,1735.60,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,21000.00,-,-,-,9.35,-,15.80,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23500.00,-,-,-,765.15,-,939.70,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23650.00,-,-,-,876.35,-,1061.60,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,23700.00,-,-,-,914.85,-,1103.40,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22600.00,217.85,247.10,217.85,247.10,247.10,359.35,3.00,34.24,0.34,50.00,50.00,-
NIFTY,12-Apr-2024,16-May-2024,PE,23850.00,-,-,-,1034.35,-,1232.20,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22950.00,-,-,-,423.40,-,550.10,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24300.00,-,-,-,1422.70,-,1641.30,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,24450.00,-,-,-,1559.80,-,1783.10,-,-,-,-,-,-
NIFTY,12-Apr-2024,16-May-2024,PE,22000.00,72.40,80.00,72.40,80.00,80.00,143.15,10.00,110.38,0.38,300.00,300.00,-
NIFTY,12-Apr-2024,16-May-2024,PE,22250.00,159.30,159.30,159.30,159.30,159.30,216.75,1.00,11.20,0.08,50.00,50.00,-
NIFTY,12-Apr-2024,16-May-2024,PE,22500.00,184.50,215.00,154.10,212.85,215.00,212.85,482.00,5467.43,44.93,1000.00,1000.00,-
NIFTY,15-Apr-2024,16-May-2024,PE,23200.00,-,-,-,565.15,-,894.85,-,-,-,-,-,22272.50
NIFTY,15-Apr-2024,16-May-2024,PE,20750.00,-,-,-,4.45,-,12.10,-,-,-,-,-,22272.50
NIFTY,15-Apr-2024,16-May-2024,PE,20900.00,-,-,-,7.00,-,18.50,-,-,-,-,-,22272.50
