Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,04-Jul-2025,07-Aug-2025,CE,24050.00,-,-,-,1572.85,-,1614.70,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,23800.00,-,-,-,1794.65,-,1839.15,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26800.00,-,-,-,132.00,-,136.30,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26550.00,-,-,-,181.05,-,187.25,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26850.00,-,-,-,123.60,-,127.60,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24100.00,-,-,-,1529.65,-,1570.90,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26450.00,-,-,-,205.25,-,211.20,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26700.00,-,-,-,150.15,-,155.15,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26100.00,-,-,-,304.25,-,315.15,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,23950.00,-,-,-,1660.45,-,1703.45,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25050.00,-,-,-,810.10,-,837.05,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26900.00,-,-,-,115.70,-,119.40,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25350.00,422.15,422.15,422.15,422.15,422.15,654.30,1.00,19.33,0.32,75.00,75.00,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24150.00,-,-,-,1486.90,-,1527.55,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24750.00,-,-,-,1013.45,-,1046.55,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24800.00,-,-,-,977.90,-,1009.00,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26250.00,-,-,-,257.55,-,266.70,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24650.00,-,-,-,1086.80,-,1120.35,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25800.00,245.30,260.30,213.10,256.25,256.15,256.25,169.00,3300.25,30.10,6225.00,6225.00,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,27050.00,-,-,-,94.35,-,97.25,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24550.00,-,-,-,1162.40,-,1197.50,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25400.00,400.45,460.00,400.45,458.40,455.10,458.40,24.00,464.91,7.71,1425.00,1425.00,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25100.00,-,-,-,778.65,-,804.75,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,23750.00,-,-,-,1840.05,-,1885.05,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25200.00,-,-,-,717.95,-,742.35,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24000.00,-,-,-,1616.45,-,1658.90,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25250.00,-,-,-,688.65,-,712.25,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24200.00,-,-,-,1444.60,-,1484.60,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,23850.00,-,-,-,1749.60,-,1793.60,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26400.00,-,-,-,216.55,-,224.15,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25300.00,469.95,520.00,456.80,520.00,520.00,682.90,20.00,386.60,7.10,525.00,525.00,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,27000.00,-,-,-,101.05,-,104.20,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25000.00,-,-,-,842.25,-,870.05,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26000.00,-,-,-,338.65,-,350.80,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25550.00,346.30,388.85,323.60,380.20,370.00,380.20,25.00,485.76,6.70,900.00,900.00,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26350.00,-,-,-,229.60,-,237.70,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26650.00,-,-,-,159.95,-,165.30,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,23650.00,-,-,-,1931.80,-,1977.60,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25850.00,-,-,-,395.50,-,409.65,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,24950.00,-,-,-,875.15,-,903.75,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,26150.00,-,-,-,288.05,-,298.30,-,-,-,-,-,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25650.00,324.40,324.40,272.00,286.40,286.40,498.40,12.00,233.49,2.64,525.00,525.00,25461.00
NIFTY,04-Jul-2025,07-Aug-2025,CE,25900.00,-,-,-,375.85,-,389.30,-,-,-,-,-,25461.00
