Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,07-Feb-2025,13-Mar-2025,CE,23450.00,-,-,-,643.80,-,523.50,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,23600.00,468.05,512.75,385.00,390.00,390.00,439.35,14.00,252.53,4.73,375.00,375.00,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,22550.00,-,-,-,1297.60,-,1197.90,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,22650.00,-,-,-,1214.50,-,1111.20,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,24050.00,-,-,-,347.85,-,241.25,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,24450.00,-,-,-,214.35,-,128.30,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,24500.00,-,-,-,200.90,-,117.75,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,25300.00,-,-,-,62.45,-,24.15,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,24900.00,-,-,-,115.70,-,56.10,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,22100.00,-,-,-,1694.45,-,1610.40,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,22200.00,-,-,-,1603.45,-,1516.20,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,24400.00,-,-,-,228.50,-,139.60,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,22250.00,-,-,-,1558.50,-,1469.55,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,22750.00,-,-,-,1133.65,-,1026.85,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,CE,24550.00,-,-,-,189.10,-,107.95,-,-,-,-,-,23559.95
