Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,16-May-2025,19-Jun-2025,CE,24550.00,-,-,-,936.80,-,896.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24700.00,-,-,-,838.35,-,799.10,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25100.00,-,-,-,606.75,-,572.15,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25300.00,-,-,-,508.05,-,476.20,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25350.00,-,-,-,485.25,-,454.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25850.00,-,-,-,294.95,-,271.10,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26150.00,-,-,-,212.65,-,192.25,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23500.00,-,-,-,1772.70,-,1726.40,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24400.00,-,-,-,1041.15,-,999.15,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24750.00,-,-,-,806.95,-,768.20,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24850.00,-,-,-,746.15,-,708.50,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25150.00,-,-,-,581.00,-,547.00,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25600.00,-,-,-,381.60,-,354.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26500.00,72.10,72.10,58.20,58.20,58.20,124.35,8.00,159.36,0.36,525.00,525.00,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23800.00,-,-,-,1511.75,-,1466.30,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24950.00,-,-,-,688.25,-,651.75,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25250.00,-,-,-,531.65,-,499.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25500.00,-,-,-,420.95,-,391.95,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25700.00,230.95,230.95,230.95,230.95,230.95,318.90,1.00,19.45,0.17,75.00,75.00,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25950.00,-,-,-,264.75,-,242.40,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26600.00,-,-,-,122.55,-,109.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26700.00,-,-,-,107.65,-,95.30,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26750.00,-,-,-,100.80,-,89.00,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23350.00,-,-,-,1908.00,-,1861.50,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23950.00,-,-,-,1387.10,-,1342.25,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26200.00,-,-,-,199.80,-,181.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26350.00,-,-,-,167.25,-,150.55,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26800.00,-,-,-,94.30,-,83.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23300.00,-,-,-,1953.75,-,1907.15,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23700.00,-,-,-,1597.15,-,1551.35,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23850.00,-,-,-,1469.75,-,1424.50,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24100.00,-,-,-,1266.85,-,1222.75,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25550.00,-,-,-,400.95,-,372.65,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25750.00,-,-,-,327.65,-,302.35,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26050.00,-,-,-,236.95,-,217.15,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23550.00,-,-,-,1728.25,-,1682.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23650.00,-,-,-,1640.45,-,1594.55,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,23900.00,-,-,-,1428.15,-,1383.10,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24450.00,-,-,-,1005.75,-,964.10,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24600.00,-,-,-,903.30,-,863.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24800.00,-,-,-,776.20,-,738.00,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25050.00,-,-,-,633.20,-,597.95,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25200.00,-,-,-,555.90,-,522.65,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26100.00,-,-,-,223.95,-,204.95,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,26250.00,-,-,-,188.45,-,170.40,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24000.00,-,-,-,1346.50,-,1301.90,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24300.00,-,-,-,1115.15,-,1072.25,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24350.00,-,-,-,1078.30,-,1034.85,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,24900.00,-,-,-,716.85,-,679.80,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25000.00,500.00,535.00,500.00,535.00,535.00,535.00,9.00,172.34,3.58,675.00,675.00,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25400.00,-,-,-,463.10,-,432.65,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25450.00,-,-,-,441.70,-,411.95,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,CE,25650.00,-,-,-,362.95,-,336.15,-,-,-,-,-,25019.80
