Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,21-Feb-2025,03-Apr-2025,PE,23550.00,-,-,-,751.15,-,765.65,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,23700.00,-,-,-,850.85,-,876.65,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22850.00,-,-,-,375.85,-,350.30,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,24250.00,-,-,-,1265.75,-,1333.30,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22300.00,-,-,-,188.50,-,153.35,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21500.00,50.00,71.20,50.00,71.20,71.20,30.25,6.00,97.01,0.26,450.00,450.00,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21900.00,-,-,-,102.65,-,72.95,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,24500.00,-,-,-,1475.40,-,1559.90,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,24550.00,-,-,-,1518.60,-,1606.20,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,23750.00,-,-,-,885.45,-,915.10,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22750.00,-,-,-,334.80,-,306.10,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22950.00,-,-,-,420.05,-,398.40,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,23000.00,410.00,435.60,410.00,420.00,420.00,423.90,6.00,105.40,1.90,300.00,300.00,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,24150.00,-,-,-,1185.20,-,1245.45,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22150.00,-,-,-,151.25,-,117.85,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22200.00,-,-,-,162.75,-,128.90,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21200.00,-,-,-,28.30,-,14.15,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22350.00,-,-,-,201.00,-,166.80,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21700.00,-,-,-,73.35,-,47.80,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21750.00,-,-,-,79.95,-,53.30,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22450.00,-,-,-,230.00,-,196.20,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,23300.00,-,-,-,599.60,-,596.80,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,23400.00,-,-,-,658.00,-,661.80,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,23850.00,-,-,-,956.65,-,994.10,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,24000.00,-,-,-,1068.40,-,1117.25,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,24400.00,-,-,-,1390.20,-,1468.15,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21150.00,-,-,-,25.50,-,12.35,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21250.00,-,-,-,31.35,-,16.15,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21450.00,-,-,-,46.50,-,26.80,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,21550.00,-,-,-,56.10,-,34.00,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,24600.00,-,-,-,1562.15,-,1652.80,-,-,-,-,-,22795.90
NIFTY,21-Feb-2025,03-Apr-2025,PE,22650.00,-,-,-,296.85,-,265.75,-,-,-,-,-,22795.90
