Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,07-Feb-2025,13-Mar-2025,PE,24800.00,-,-,-,1157.75,-,1158.50,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,22200.00,-,-,-,45.70,-,22.25,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,22600.00,-,-,-,95.20,-,57.90,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,22350.00,-,-,-,60.95,-,32.45,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,24150.00,-,-,-,688.65,-,652.15,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,23900.00,-,-,-,541.10,-,494.15,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,24200.00,-,-,-,720.50,-,686.50,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,25100.00,-,-,-,1407.70,-,1425.80,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,21950.00,-,-,-,27.25,-,11.25,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,23550.00,-,-,-,369.05,-,314.30,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,22000.00,31.85,35.00,22.50,35.00,35.00,12.95,5.00,82.62,0.12,225.00,225.00,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,24350.00,-,-,-,820.60,-,794.65,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,22250.00,-,-,-,50.35,-,25.30,-,-,-,-,-,23559.95
NIFTY,07-Feb-2025,13-Mar-2025,PE,24050.00,-,-,-,627.20,-,586.15,-,-,-,-,-,23559.95
