Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,13-Jun-2025,17-Jul-2025,PE,24050.00,-,-,-,167.30,-,201.80,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,24300.00,-,-,-,232.50,-,277.65,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,24400.00,261.40,264.85,261.40,264.85,264.85,312.95,3.00,55.49,0.59,225.00,225.00,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,26350.00,-,-,-,1427.15,-,1569.40,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,26150.00,-,-,-,1263.85,-,1398.95,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,23150.00,-,-,-,39.20,-,49.25,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,24750.00,-,-,-,393.15,-,460.05,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,26650.00,-,-,-,1684.75,-,1836.05,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25250.00,-,-,-,641.45,-,734.65,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,23800.00,-,-,-,116.70,-,142.55,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,26400.00,-,-,-,1469.10,-,1613.00,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25100.00,-,-,-,559.10,-,644.40,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,24850.00,-,-,-,436.85,-,508.85,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,23200.00,60.00,79.85,60.00,72.55,76.60,72.55,125.00,2181.38,6.38,9300.00,9300.00,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25050.00,-,-,-,533.15,-,615.80,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,26450.00,-,-,-,1511.45,-,1656.95,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25350.00,-,-,-,700.00,-,798.45,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25300.00,-,-,-,670.35,-,766.20,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,23900.00,-,-,-,135.30,-,164.50,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25700.00,-,-,-,926.90,-,1042.75,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,23400.00,-,-,-,61.30,-,76.25,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,24100.00,-,-,-,179.15,-,215.60,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25500.00,-,-,-,793.15,-,899.25,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,24000.00,161.75,181.80,161.75,171.80,181.80,171.80,2.00,36.26,0.26,75.00,75.00,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,23550.00,-,-,-,78.85,-,97.40,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25150.00,-,-,-,585.80,-,673.75,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,25400.00,-,-,-,730.35,-,831.35,-,-,-,-,-,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,23350.00,60.00,85.00,60.00,85.00,85.00,70.10,32.00,562.39,1.99,2175.00,2175.00,24718.60
NIFTY,13-Jun-2025,17-Jul-2025,PE,24450.00,-,-,-,279.65,-,331.70,-,-,-,-,-,24718.60
