Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,16-May-2025,19-Jun-2025,PE,25850.00,-,-,-,917.55,-,940.95,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,25900.00,-,-,-,951.80,-,976.00,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26150.00,-,-,-,1133.35,-,1160.25,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26200.00,-,-,-,1170.20,-,1198.75,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26350.00,-,-,-,1286.65,-,1317.30,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26500.00,-,-,-,1407.55,-,1440.15,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26550.00,-,-,-,1448.75,-,1482.00,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,24050.00,-,-,-,140.50,-,143.05,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,24100.00,150.75,150.75,150.75,150.75,150.75,150.75,1.00,18.19,0.11,75.00,75.00,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,24450.00,-,-,-,237.30,-,242.65,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,24650.00,-,-,-,300.75,-,308.00,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26600.00,-,-,-,1490.35,-,1524.20,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,23400.00,-,-,-,50.85,-,51.20,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,23950.00,-,-,-,121.85,-,123.85,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,25450.00,-,-,-,666.85,-,684.30,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,25600.00,-,-,-,755.80,-,775.45,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26750.00,-,-,-,1617.65,-,1653.25,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,23500.00,-,-,-,60.30,-,60.85,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,25550.00,-,-,-,725.45,-,744.40,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,26050.00,-,-,-,1058.30,-,1085.75,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,23350.00,64.00,67.00,59.95,67.00,67.00,46.85,17.00,298.53,0.82,1275.00,1275.00,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,23550.00,-,-,-,65.55,-,66.20,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,23700.00,-,-,-,83.50,-,84.55,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,23850.00,-,-,-,105.15,-,106.75,-,-,-,-,-,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,24400.00,217.05,217.05,182.60,182.60,182.60,228.00,4.00,73.79,0.59,75.00,75.00,25019.80
NIFTY,16-May-2025,19-Jun-2025,PE,24800.00,-,-,-,355.50,-,364.35,-,-,-,-,-,25019.80
