Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,20-Dec-2024,23-Jan-2025,PE,24000.00,421.55,421.55,421.55,421.55,421.55,539.60,1.00,18.32,0.32,75.00,75.00,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24200.00,-,-,-,521.45,-,668.70,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24700.00,-,-,-,826.95,-,1048.95,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24800.00,-,-,-,896.95,-,1133.10,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,25050.00,-,-,-,1083.65,-,1352.40,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,25450.00,-,-,-,1411.15,-,1723.00,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,25500.00,-,-,-,1454.25,-,1770.55,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24400.00,-,-,-,634.35,-,811.80,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24950.00,-,-,-,1008.10,-,1263.30,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,25200.00,-,-,-,1202.65,-,1489.00,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,25600.00,-,-,-,1541.55,-,1866.20,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,22250.00,-,-,-,26.60,-,24.90,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,23000.00,109.00,167.25,109.00,160.90,157.55,160.90,12.00,208.37,1.37,750.00,750.00,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,23350.00,-,-,-,186.20,-,227.20,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,23450.00,-,-,-,213.15,-,264.40,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24050.00,-,-,-,445.30,-,570.50,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24500.00,-,-,-,695.55,-,888.05,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24550.00,-,-,-,727.30,-,927.25,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,25400.00,-,-,-,1368.55,-,1675.65,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,25700.00,-,-,-,1630.30,-,1962.60,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,22300.00,-,-,-,29.55,-,28.20,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,22850.00,-,-,-,84.35,-,94.85,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,23300.00,-,-,-,172.45,-,210.05,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,23950.00,-,-,-,398.60,-,509.65,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24150.00,-,-,-,495.20,-,635.10,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24450.00,-,-,-,664.60,-,849.55,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24600.00,-,-,-,759.80,-,967.20,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,24750.00,-,-,-,861.60,-,1090.75,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,22400.00,-,-,-,36.30,-,35.95,-,-,-,-,-,-
NIFTY,20-Dec-2024,23-Jan-2025,PE,22650.00,-,-,-,58.95,-,63.05,-,-,-,-,-,-
